Brand,Model,Specifications,Manufacturing Date,Disposal/Reuse Status,Components,Material Composition,Environmental Impact,End-of-Life Management,E-waste Regulations Compliance,Energy Efficiency Rating,Usage History
Dell,OptiPlex 3020,"Intel Core i5-10500T, 8GB RAM, 256GB SSD",01-01-2020,Disposed,"Motherboard, CPU, GPU, RAM, Hard Drive","Plastic, metal, silicon",Moderate,Landfill,No,Bronze,Used in an office setting for 3 years
Apple,MacBook Pro 13,"M1 chip, 8GB RAM, 256GB SSD",01-11-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, glass, plastic",Low,Donated to a school,Yes,A,Used by a student for 1 year
HP,Pavilion Gaming Desktop,"AMD Ryzen 5 5600G, 16GB RAM, 1TB HDD",01-04-2022,Recycled,"Motherboard, CPU, GPU, RAM, HDD","Plastic, metal, silicon",Medium,Sent to a recycling facility,Yes,Silver,Used by a gamer for 6 months
Dell,Latitude 7320,"Intel Core i7-1180G, 16GB RAM, 512GB SSD",01-05-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Moderate,Landfill,No,Bronze,Used in a corporate setting for 2 years
Apple,iMac 24,"M1 chip, 8GB RAM, 256GB SSD",01-04-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, glass, plastic",Low,Donated to a library,Yes,A,Used by a librarian for 1 year
Lenovo,ThinkPad X1 Carbon,"Intel Core i5-1165G7, 16GB RAM, 512GB SSD",01-03-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, magnesium, carbon fiber",Low,Sent to a recycling facility,Yes,Silver,Used by a business traveler for 9 months
Microsoft,Surface Laptop 4,"AMD Ryzen 5 4500U, 8GB RAM, 256GB SSD",01-04-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, magnesium, plastic",Low,Donated to a charity,Yes,A,Used by a volunteer for 1 year
Samsung,Galaxy Book Pro,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD",01-01-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, magnesium, plastic",Low,Sent to a recycling facility,Yes,Silver,Used by a student for 12 months
Dell,XPS 13,"Intel Core i7-1185G7, 16GB RAM, 512GB SSD",01-08-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, carbon fiber",Low,Landfill,No,Gold,Used by a software engineer for 4 months
Apple,MacBook Air,"M1 chip, 8GB RAM, 256GB SSD",01-11-2020,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, recycled aluminum",Low,Donated to a community center,Yes,A,Used by a community center for 2 years
Acer,Aspire E15,"Intel Core i5-8250U, 8GB RAM, 1TB HDD",15-02-2021,Reused,"Motherboard, CPU, GPU, RAM, HDD","Plastic, metal, silicon",Moderate,Donated to a school,Yes,B,Used by a teacher for 2 years
ASUS,VivoBook S14,"AMD Ryzen 7 4700U, 16GB RAM, 512GB SSD",20-06-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Low,Sent to a recycling facility,Yes,Silver,Used by a student for 1 year
Lenovo,Legion Y540,"Intel Core i7-9750H, 32GB RAM, 1TB SSD",10-10-2020,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a gamer for 3 years
Dell,Inspiron 14,"AMD Ryzen 5 4500U, 8GB RAM, 256GB SSD",05-11-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, aluminum, silicon",Low,Donated to a community center,Yes,A,Used by a community center for 2 years
